
233a-v1.2 variant=aux seed=42
  Flags: use_v1_film_pipe=False, use_learned_link=False
  λ: vs=0.05, rv=0.1, jump_slow=0.05, film_bce=0.05, twcrps=0.05, state=0.1
ep   0  H= 5  p_gt=1.00  train_total=2.7140  val=0.9008  dt=6.2s
ep   1  H= 5  p_gt=0.97  train_total=0.5385  val=0.5792  dt=6.0s
ep   2  H= 5  p_gt=0.93  train_total=0.4955  val=0.5612  dt=5.7s
ep   3  H= 5  p_gt=0.90  train_total=0.4945  val=0.5670  dt=5.5s
ep   4  H= 5  p_gt=0.87  train_total=0.4943  val=0.5620  dt=5.5s
ep   5  H= 5  p_gt=0.83  train_total=0.4941  val=0.5601  dt=5.5s
ep   6  H= 5  p_gt=0.80  train_total=0.4923  val=0.5633  dt=5.5s
ep   7  H= 5  p_gt=0.77  train_total=0.4898  val=0.5687  dt=5.5s
ep   8  H= 5  p_gt=0.73  train_total=0.4746  val=0.5594  dt=5.5s
ep   9  H= 5  p_gt=0.70  train_total=0.4675  val=0.5667  dt=5.5s
ep  10  H=15  p_gt=0.67  train_total=0.4654  val=0.5908  dt=10.9s
ep  11  H=15  p_gt=0.63  train_total=0.4638  val=0.6030  dt=10.9s
ep  12  H=15  p_gt=0.60  train_total=0.4641  val=0.5965  dt=10.9s
ep  13  H=15  p_gt=0.57  train_total=0.4640  val=0.5945  dt=10.9s
ep  14  H=15  p_gt=0.53  train_total=0.4629  val=0.5989  dt=10.9s
ep  15  H=15  p_gt=0.50  train_total=0.4671  val=0.5958  dt=11.0s
ep  16  H=15  p_gt=0.47  train_total=0.4664  val=0.5966  dt=11.4s
ep  17  H=15  p_gt=0.43  train_total=0.4683  val=0.5963  dt=11.4s
ep  18  H=15  p_gt=0.40  train_total=0.4730  val=0.6044  dt=11.3s
ep  19  H=15  p_gt=0.37  train_total=0.4738  val=0.6043  dt=11.3s
ep  20  H=15  p_gt=0.33  train_total=0.4763  val=0.6066  dt=11.3s
ep  21  H=15  p_gt=0.30  train_total=0.4778  val=0.5937  dt=11.3s
ep  22  H=15  p_gt=0.27  train_total=0.4812  val=0.5958  dt=11.4s
ep  23  H=15  p_gt=0.23  train_total=0.4861  val=0.6038  dt=11.4s
ep  24  H=15  p_gt=0.20  train_total=0.4871  val=0.5986  dt=11.4s
ep  25  H=30  p_gt=0.17  train_total=0.4969  val=0.6271  dt=20.1s
ep  26  H=30  p_gt=0.13  train_total=1.0800  val=3.1141  dt=20.6s
ep  27  H=30  p_gt=0.10  train_total=nan  val=nan  dt=20.2s
ep  28  H=30  p_gt=0.07  train_total=nan  val=nan  dt=20.2s
ep  29  H=30  p_gt=0.03  train_total=nan  val=nan  dt=20.2s
ep  30  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.2s
ep  31  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.2s
ep  32  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.6s
ep  33  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.2s
ep  34  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.2s
ep  35  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.2s
ep  36  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.3s
ep  37  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.3s
ep  38  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.5s
ep  39  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.3s
ep  40  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.1s
ep  41  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.2s
ep  42  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.3s
ep  43  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.4s
ep  44  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.4s
ep  45  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.3s
ep  46  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.3s
ep  47  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.2s
ep  48  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.3s
ep  49  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.7s
ep  50  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.3s
ep  51  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.2s
ep  52  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.2s
ep  53  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.2s
ep  54  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.2s
ep  55  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.6s
ep  56  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.3s
ep  57  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.2s
ep  58  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.3s
ep  59  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.2s

Training complete. Best val loss = 0.5594
Saved: models/backfill/233a_v1_2_aux_25d_s42/best_model.pt, models/backfill/233a_v1_2_aux_25d_s42/final_model.pt
