
233a-v1.2 variant=both seed=42
  Flags: use_v1_film_pipe=False, use_learned_link=True
  λ: vs=0.05, rv=0.1, jump_slow=0.05, film_bce=0.05, twcrps=0.05, state=0.1
ep   0  H= 5  p_gt=1.00  train_total=2.7205  val=0.8926  dt=6.4s
ep   1  H= 5  p_gt=0.97  train_total=0.5401  val=0.5962  dt=6.1s
ep   2  H= 5  p_gt=0.93  train_total=0.4969  val=0.5627  dt=5.7s
ep   3  H= 5  p_gt=0.90  train_total=0.4964  val=0.5668  dt=5.6s
ep   4  H= 5  p_gt=0.87  train_total=0.4937  val=0.5607  dt=5.7s
ep   5  H= 5  p_gt=0.83  train_total=0.4930  val=0.5622  dt=5.9s
ep   6  H= 5  p_gt=0.80  train_total=0.4924  val=0.5742  dt=5.7s
ep   7  H= 5  p_gt=0.77  train_total=0.4929  val=0.5674  dt=5.7s
ep   8  H= 5  p_gt=0.73  train_total=0.4754  val=0.5673  dt=5.7s
ep   9  H= 5  p_gt=0.70  train_total=0.4696  val=0.5606  dt=5.7s
ep  10  H=15  p_gt=0.67  train_total=0.4667  val=0.5998  dt=11.5s
ep  11  H=15  p_gt=0.63  train_total=0.4650  val=0.5942  dt=11.5s
ep  12  H=15  p_gt=0.60  train_total=0.4642  val=0.6008  dt=11.5s
ep  13  H=15  p_gt=0.57  train_total=0.4659  val=0.6015  dt=11.6s
ep  14  H=15  p_gt=0.53  train_total=0.4663  val=0.6073  dt=11.6s
ep  15  H=15  p_gt=0.50  train_total=0.4659  val=0.5984  dt=11.9s
ep  16  H=15  p_gt=0.47  train_total=0.4706  val=0.6053  dt=11.8s
ep  17  H=15  p_gt=0.43  train_total=0.4703  val=0.6121  dt=11.6s
ep  18  H=15  p_gt=0.40  train_total=0.4724  val=0.6086  dt=11.6s
ep  19  H=15  p_gt=0.37  train_total=0.4747  val=0.6036  dt=11.6s
[ep20] Stage B ep20 gate: deferred to post-train diagnostics (film_std=0.2796)
ep  20  H=15  p_gt=0.33  train_total=0.4778  val=0.5939  dt=11.8s
ep  21  H=15  p_gt=0.30  train_total=0.4786  val=0.6060  dt=11.6s
ep  22  H=15  p_gt=0.27  train_total=0.4827  val=0.5991  dt=11.6s
ep  23  H=15  p_gt=0.23  train_total=0.4839  val=0.6012  dt=11.6s
ep  24  H=15  p_gt=0.20  train_total=0.4859  val=0.5995  dt=11.6s
ep  25  H=30  p_gt=0.17  train_total=0.5007  val=0.6993  dt=21.1s
ep  26  H=30  p_gt=0.13  train_total=0.5116  val=0.6202  dt=20.7s
ep  27  H=30  p_gt=0.10  train_total=nan  val=nan  dt=20.7s
ep  28  H=30  p_gt=0.07  train_total=nan  val=nan  dt=20.7s
ep  29  H=30  p_gt=0.03  train_total=nan  val=nan  dt=20.7s
ep  30  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.8s
ep  31  H=30  p_gt=0.00  train_total=nan  val=nan  dt=21.1s
ep  32  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.7s
ep  33  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.8s
ep  34  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.8s
ep  35  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.8s
ep  36  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.8s
ep  37  H=30  p_gt=0.00  train_total=nan  val=nan  dt=21.2s
ep  38  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.8s
ep  39  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.8s
ep  40  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.8s
ep  41  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.8s
ep  42  H=30  p_gt=0.00  train_total=nan  val=nan  dt=21.2s
ep  43  H=30  p_gt=0.00  train_total=nan  val=nan  dt=21.0s
ep  44  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.8s
ep  45  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.9s
ep  46  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.8s
ep  47  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.7s
ep  48  H=30  p_gt=0.00  train_total=nan  val=nan  dt=21.3s
ep  49  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.8s
ep  50  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.8s
ep  51  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.8s
ep  52  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.8s
ep  53  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.8s
ep  54  H=30  p_gt=0.00  train_total=nan  val=nan  dt=21.2s
ep  55  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.9s
ep  56  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.8s
ep  57  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.8s
ep  58  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.9s
ep  59  H=30  p_gt=0.00  train_total=nan  val=nan  dt=20.7s

Training complete. Best val loss = 0.5606
Saved: models/backfill/233a_v1_2_both_25d_s42/best_model.pt, models/backfill/233a_v1_2_both_25d_s42/final_model.pt
